,losses
0,"tensor(0.1453, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2203, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1837, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2048, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2995, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1793, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3959, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3641, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1565, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1972, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1295, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1961, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2308, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3807, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3689, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3125, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1783, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1667, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2640, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.4363, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2620, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2194, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3460, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.4618, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1487, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2904, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3675, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3780, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.5109, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3353, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3410, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3369, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3647, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3856, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3112, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.4198, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3656, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2178, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.4684, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3098, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2884, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3036, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2283, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3032, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2244, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3360, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1940, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2159, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1900, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.5187, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2338, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3139, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.4272, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.4787, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3239, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2298, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3114, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.6150, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3428, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.4518, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.4009, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2863, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2392, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3806, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.4208, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3943, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3223, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.5205, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.5233, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.5608, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.5023, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3115, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.5048, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.4005, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3114, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.4735, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2341, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.6886, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.5566, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
