,losses
0,
0,
0,
0,
0,
0,"tensor(0.4995, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.4024, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3401, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2843, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2145, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1528, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0892, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0682, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0595, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0582, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0583, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0410, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0435, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0440, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0478, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0316, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0461, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0467, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0429, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0315, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0329, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0545, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0526, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0321, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0456, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0488, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0574, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0462, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0594, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0572, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0621, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0658, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0720, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0776, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1171, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0916, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0633, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1362, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1360, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1497, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1112, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1141, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0936, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1284, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1127, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1655, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1340, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0993, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0909, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0770, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
