,losses
0,
0,
0,
0,
0,
0,
0,"tensor(0.5028, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.4501, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.4000, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3483, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2590, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1458, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1281, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0978, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0875, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0735, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0662, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0625, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0532, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0422, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0588, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0643, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0471, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0487, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0546, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0741, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0680, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0536, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0522, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0618, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0545, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0336, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0546, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0663, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0303, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0868, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0684, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0696, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0344, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1152, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0807, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0697, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1468, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0785, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0797, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0940, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0899, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1023, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0609, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0747, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1380, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1002, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0854, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1212, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1080, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1713, device='cuda:0', grad_fn=<SmoothL1LossBackward0>)"
