,losses
0,"tensor(0.2081, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1454, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2530, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1695, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0608, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1848, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2642, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2321, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2698, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1376, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.0661, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2467, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1159, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3222, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2951, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2756, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1187, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2305, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.2655, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.3883, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
0,"tensor(0.1950, device='cuda:1', grad_fn=<SmoothL1LossBackward0>)"
